9546321555	0.00	0.00	0.00	0.00	0.00	0.00	
5612971340	5.00	50.00	2.00	0.01	0.02	2.02	
3051234567	8.00	25.00	1.60	0.03	0.05	1.65	
7542346622	24.00	17.00	3.26	0.08	0.26	3.53	
3054432762	15.00	30.00	3.60	0.05	0.18	3.78	
9544321011	50.00	100.00	40.00	0.08	3.20	43.20	
8776219988	87.00	82.00	57.07	0.12	6.85	63.92	
9042224556	4.00	5.00	0.16	0.01	0.00	0.16	
5617278899	20.00	45.00	7.20	0.05	0.36	7.56	
9546321555	4.00	3.00	0.10	0.01	0.00	0.10	
5612971340	79.00	86.00	54.35	0.12	6.52	60.87	
3051234567	8.00	25.00	1.60	0.03	0.05	1.65	
7542346622	24.00	118.00	22.66	0.08	1.81	24.47	
3054432762	115.00	25.00	23.00	0.12	2.76	25.76	
9544321011	43.00	10.00	3.44	0.08	0.28	3.72	
8776219988	265.00	22.00	46.64	0.12	5.60	52.24	
9042224556	2.00	5.00	0.08	0.01	0.00	0.08	
5617278899	40.00	56.00	17.92	0.08	1.43	19.35	
1001001000	20.00	39.00	6.24	0.05	0.31	6.55	
1001001000	45.00	98.00	35.28	0.08	2.82	38.10	
